@RELATION car_data_CSF_2018

@ATTRIBUTE length REAL
@ATTRIBUTE width REAL
@ATTRIBUTE vehicletype {,LG,MD,SM}

@DATA
205.5,80,LG
229.5,80,LG
229.5,80,LG
239,80,LG
224.3,80.5,LG
224.1,79.2,LG
224.1,79.2,LG
224.4,80.1,LG
224.4,80.1,LG
239.5,80.5,LG
239.5,80.5,LG
208.9,79.9,LG
204.7,81.6,LG
207.4,78.8,LG
233.1,79.7,LG
233.1,79.7,LG
273.8,79.7,LG
289.8,79.7,LG
273.8,79.7,LG
207.7,79.3,LG
205.5,72.8,LG
205.5,72.8,LG
240.6,79.9,LG
240.6,79.9,LG
240.6,79.9,LG
224.6,79.5,LG
224.6,79.5,LG
224.6,79.5,LG
209,79.4,LG
209,79.4,LG
229,79.4,LG
237.9,79.4,LG
231,78.9,LG
230.4,96,LG
237.4,79.1,LG
237.3,79.1,LG
248.4,79.1,LG
248.4,96,LG
213.1,82.7,LG
236,82.7,LG
205.1,79.9,LG
208.1,72.2,LG
208.1,74.6,LG
208.1,74.6,LG
221.3,74.6,LG
221.3,74.6,LG
228.9,79.9,LG
228.9,79.9,LG
247.8,79.9,LG
228.9,79.9,LG
207.4,76.7,LG
207.4,76.7,LG
207.4,76.7,LG
207.4,76.7,LG
208.5,75.8,LG
208.5,75.8,LG
219.5,75.8,LG
206,74.9,LG
206,74.9,LG
205.5,74.9,LG
205.5,74.9,LG
205.5,74.9,LG
205.5,74.9,LG
205.5,74.9,LG
205.5,74.9,LG
205.3,74.9,LG
204.2,74.8,LG
204.2,74.8,LG
204.2,74.8,LG
204.2,74.8,LG
206.8,74.6,LG
206.8,74.6,LG
206.8,74.8,LG
206.8,74.6,LG
205,73.8,LG
205,73.8,LG
205,73.8,LG
205.6,75.9,LG
205.6,75.9,LG
205.6,75.9,LG
206.5,74.8,LG
206.5,74.8,LG
206.7,74.8,LG
206.5,74.8,LG
206.7,74.8,LG
212.6,76.7,LG
219.3,76.7,LG
220.9,78.2,LG
220.9,78.2,LG
230,78.3,LG
239.8,78.3,LG
207.9,76.7,LG
208.2,73.2,LG
212.6,74.3,LG
205.6,80,LG
230.2,80,LG
224.4,80.5,LG
204,80.5,LG
224.1,79.2,LG
224.1,79.2,LG
244.1,79.2,LG
224.4,80.1,LG
224.4,96,LG
230,80.5,LG
239.5,80.5,LG
258.4,96,LG
231.9,79.9,LG
231.9,79.9,LG
243.7,79.9,LG
231.9,79.9,LG
227.6,79.9,LG
232.4,79.9,LG
232.4,79.9,LG
246.8,79.9,LG
246.8,79.9,LG
219.9,81.3,LG
237.6,81.3,LG
219.9,81.3,LG
219.9,81.3,LG
266.1,81.3,LG
208.2,73.2,LG
212.6,74.3,LG
203.9,80.5,MD
185.3,72.8,MD
196.6,74.7,MD
